CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,21:45:07 - February 27 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
21:45:18 02/27/12,26,24,27,24,,,25,30,4,4788.92,,23,30,3,4788.92,,27,32,3,4788.92,,24,30,3,4788.92,
21:45:27 02/27/12,26,25,28,27,,,25,32,8,4788.92,,23,31,2,4788.92,,26,38,0,4788.92,,24,31,0,4788.92,
21:45:37 02/27/12,28,28,28,28,,,24,32,11,4788.92,,23,31,1,4788.92,,26,38,1,4788.92,,24,31,11,4788.92,
21:45:47 02/27/12,29,29,29,29,,,24,32,0,4788.92,,23,31,0,4788.92,,26,38,0,4788.92,,23,31,0,4788.92,
21:45:57 02/27/12,24,24,27,25,,,24,32,0,4788.92,,23,31,0,4788.92,,26,38,19,4788.92,,23,31,0,4788.92,
21:46:07 02/27/12,28,28,28,28,,,24,32,5,4788.92,,23,31,3,4788.92,,26,41,4,4788.92,,23,31,3,4788.92,
21:46:17 02/27/12,29,29,29,29,,,24,32,0,4788.92,,23,31,1,4788.92,,26,41,0,4788.92,,23,34,1,4788.92,
21:46:27 02/27/12,26,26,27,24,,,24,32,0,4788.92,,23,31,0,4788.92,,26,41,1,4788.92,,23,34,2,4788.92,
21:46:37 02/27/12,28,30,29,27,,,24,32,3,4788.92,,23,31,4,4788.92,,26,41,4,4788.92,,23,34,10,4788.92,
21:46:47 02/27/12,26,25,26,24,,,24,32,0,4788.92,,23,39,1,4788.92,,26,43,0,4788.92,,23,34,1,4788.92,
21:46:57 02/27/12,26,24,27,25,,,24,32,0,4788.92,,23,39,1,4788.92,,26,43,1,4788.92,,23,34,0,4788.92,
21:47:07 02/27/12,28,26,28,27,,,24,32,1,4788.92,,23,39,1,4788.92,,26,43,1,4788.92,,23,34,1,4788.92,
21:47:17 02/27/12,29,29,29,29,,,24,32,1,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,34,1,4788.92,
21:47:27 02/27/12,30,30,30,30,,,24,32,7,4788.92,,23,39,6,4788.92,,26,43,5,4788.92,,23,36,5,4788.92,
21:47:37 02/27/12,27,26,28,25,,,24,32,6,4788.92,,23,39,1,4788.92,,26,43,2,4788.92,,23,36,5,4788.92,
21:48:03 02/27/12,26,25,27,26,,,24,32,1,4788.92,,23,39,1,4788.92,,26,43,1,4788.92,,23,36,1,4788.92,
21:48:13 02/27/12,26,25,27,25,,,24,32,4,4788.92,,23,39,1,4788.92,,26,43,2,4788.92,,23,36,0,4788.92,
21:48:23 02/27/12,31,31,31,31,,,24,32,1,4788.92,,23,39,1,4788.92,,26,43,1,4788.92,,23,37,1,4788.92,
21:48:33 02/27/12,26,25,27,25,,,24,32,0,4788.92,,23,39,1,4788.92,,26,43,0,4788.92,,23,37,0,4788.92,
21:48:43 02/27/12,29,29,29,29,,,24,32,0,4788.92,,23,39,1,4788.92,,26,43,0,4788.92,,23,37,1,4788.92,
21:48:53 02/27/12,29,29,29,29,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,37,0,4788.92,
21:49:03 02/27/12,30,30,30,30,,,24,32,2,4788.92,,23,39,1,4788.92,,26,43,2,4788.92,,23,37,2,4788.92,
21:49:13 02/27/12,30,30,30,30,,,24,32,1,4788.92,,23,39,1,4788.92,,26,43,1,4788.92,,23,37,0,4788.92,
21:49:23 02/27/12,25,26,28,25,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,37,0,4788.92,
21:49:33 02/27/12,26,25,26,26,,,24,32,0,4788.92,,23,39,1,4788.92,,26,43,0,4788.92,,23,37,0,4788.92,
21:49:43 02/27/12,30,30,30,30,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,37,1,4788.92,
21:49:53 02/27/12,26,25,27,26,,,24,32,0,4788.92,,23,39,1,4788.92,,26,43,0,4788.92,,23,37,1,4788.92,
21:50:03 02/27/12,27,26,28,26,,,24,32,5,4788.92,,23,39,5,4788.92,,26,43,1,4788.92,,23,37,1,4788.92,
21:50:13 02/27/12,30,30,30,30,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,37,0,4788.92,
21:50:23 02/27/12,27,24,28,25,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,37,0,4788.92,
21:50:33 02/27/12,30,29,30,30,,,24,32,9,4788.92,,23,39,2,4788.92,,26,43,3,4788.92,,23,37,0,4788.92,
21:50:43 02/27/12,31,31,31,31,,,24,32,1,4788.92,,23,39,1,4788.92,,26,43,0,4788.92,,23,37,0,4788.92,
21:50:53 02/27/12,30,30,30,30,,,24,32,2,4788.92,,23,39,2,4788.92,,26,43,2,4788.92,,23,37,1,4788.92,
21:51:03 02/27/12,30,33,32,28,,,24,32,0,4788.92,,23,39,4,4788.92,,26,43,0,4788.92,,23,37,1,4788.92,
21:51:13 02/27/12,30,30,30,30,,,24,32,6,4788.92,,23,39,4,4788.92,,26,43,4,4788.92,,23,37,2,4788.92,
21:51:23 02/27/12,27,25,28,26,,,24,32,8,4788.92,,23,39,9,4788.92,,26,43,9,4788.92,,23,37,1,4788.92,
21:51:33 02/27/12,28,26,29,27,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,37,3,4788.92,
21:51:43 02/27/12,27,25,29,28,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,2,4788.92,,23,37,0,4788.92,
21:51:53 02/27/12,26,26,28,26,,,24,32,11,4788.92,,23,39,2,4788.92,,26,43,2,4788.92,,23,37,2,4788.92,
21:52:03 02/27/12,30,30,30,30,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,37,0,4788.92,
21:52:13 02/27/12,27,26,27,27,,,24,32,1,4788.92,,23,39,1,4788.92,,26,43,0,4788.92,,23,37,1,4788.92,
21:52:23 02/27/12,30,30,30,30,,,24,32,1,4788.92,,23,39,2,4788.92,,26,43,1,4788.92,,23,37,1,4788.92,
21:52:33 02/27/12,26,25,28,26,,,24,32,7,4788.92,,23,39,7,4788.92,,26,43,7,4788.92,,23,37,1,4788.92,
21:52:43 02/27/12,30,30,30,30,,,24,32,1,4788.92,,23,39,1,4788.92,,26,43,1,4788.92,,23,37,1,4788.92,
21:52:53 02/27/12,26,25,28,26,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,37,2,4788.92,
21:53:03 02/27/12,28,26,28,26,,,24,32,1,4788.92,,23,39,1,4788.92,,26,43,1,4788.92,,23,37,0,4788.92,
21:53:13 02/27/12,28,26,29,25,,,24,32,0,4788.92,,23,39,0,4788.92,,26,43,0,4788.92,,23,37,1,4788.92,
21:53:23 02/27/12,28,26,28,28,,,24,32,0,4788.92,,23,39,1,4788.92,,26,43,0,4788.92,,23,37,5,4788.92,
21:53:33 02/27/12,30,29,30,30,,,24,32,2,4788.92,,23,39,0,4788.92,,26,43,2,4788.92,,23,37,0,4788.92,
21:53:43 02/27/12,30,30,30,30,,,24,32,1,4788.92,,23,41,0,4788.92,,26,43,0,4788.92,,23,37,3,4788.92,
21:53:53 02/27/12,30,30,30,30,,,24,32,1,4788.92,,23,41,3,4788.92,,26,43,1,4788.92,,23,37,1,4788.92,
21:54:03 02/27/12,30,29,30,30,,,24,32,2,4788.92,,23,41,1,4788.92,,26,43,1,4788.92,,23,37,2,4788.92,
21:54:13 02/27/12,28,27,28,26,,,24,32,1,4788.92,,23,41,0,4788.92,,26,43,1,4788.92,,23,37,1,4788.92,
21:54:23 02/27/12,31,31,31,31,,,24,32,1,4788.92,,23,41,2,4788.92,,26,43,1,4788.92,,23,37,1,4788.92,
21:54:33 02/27/12,28,27,29,27,,,24,35,3,4788.92,,23,41,2,4788.92,,26,43,3,4788.92,,23,37,5,4788.92,
21:54:46 02/27/12,30,30,30,30,,,24,35,0,4788.92,,23,41,0,4788.92,,26,43,1,4788.92,,23,37,0,4788.92,
21:54:53 02/27/12,28,27,30,27,,,24,35,3,4788.92,,23,42,0,4788.92,,26,43,1,4788.92,,23,37,0,4788.92,
21:55:03 02/27/12,30,30,30,30,,,24,35,1,4788.92,,23,42,2,4788.92,,26,45,0,4788.92,,23,37,0,4788.92,
21:55:13 02/27/12,28,29,30,41,,,24,35,1,4788.92,,23,42,1,4788.92,,26,45,1,4788.92,,23,41,7,4788.92,
21:55:23 02/27/12,28,26,29,27,,,24,35,0,4788.92,,23,42,0,4788.92,,26,45,1,4788.92,,23,41,1,4788.92,
21:55:33 02/27/12,28,26,28,27,,,24,35,0,4788.92,,23,42,1,4788.92,,26,45,1,4788.92,,23,43,1,4788.92,
21:55:43 02/27/12,31,31,31,31,,,24,35,0,4788.92,,23,42,0,4788.92,,26,45,0,4788.92,,23,43,0,4788.92,
