CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,14:59:10 - March 17 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
14:59:20 03/17/12,29,29,31,42,,,27,33,11,4788.86,,27,34,1,4788.86,,29,32,0,4788.86,,27,42,6,4788.86,
14:59:30 03/17/12,28,28,30,29,,,27,40,5,4788.86,,27,34,8,4788.86,,29,40,4,4788.86,,27,42,11,4788.86,
14:59:40 03/17/12,31,31,32,31,,,27,40,8,4788.86,,27,34,6,4788.86,,28,40,2,4788.86,,27,42,14,4788.86,
14:59:50 03/17/12,26,27,30,28,,,26,40,1,4788.86,,26,34,2,4788.86,,28,42,1,4788.86,,27,42,2,4788.86,
15:00:00 03/17/12,28,28,31,28,,,26,40,0,4788.86,,26,34,6,4788.86,,28,42,0,4788.86,,27,42,0,4788.86,
15:00:10 03/17/12,27,27,29,28,,,26,40,1,4788.86,,26,34,0,4788.86,,28,43,0,4788.86,,27,42,7,4788.86,
15:00:20 03/17/12,27,27,29,28,,,26,40,2,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,3,4788.86,
15:00:30 03/17/12,27,28,29,28,,,26,42,3,4788.86,,26,40,3,4788.86,,28,43,4,4788.86,,27,42,3,4788.86,
15:00:40 03/17/12,31,31,31,31,,,26,42,1,4788.86,,26,40,3,4788.86,,28,43,2,4788.86,,27,42,2,4788.86,
15:00:50 03/17/12,31,31,34,31,,,26,42,1,4788.86,,26,40,0,4788.86,,28,43,22,4788.86,,27,42,1,4788.86,
15:01:00 03/17/12,29,31,31,28,,,26,42,2,4788.86,,26,40,3,4788.86,,28,43,1,4788.86,,27,42,1,4788.86,
15:01:10 03/17/12,30,31,31,30,,,26,42,7,4788.86,,26,40,7,4788.86,,28,43,4,4788.86,,27,42,3,4788.86,
15:01:20 03/17/12,28,27,29,28,,,26,42,1,4788.86,,26,40,4,4788.86,,28,43,4,4788.86,,27,42,2,4788.86,
15:01:30 03/17/12,31,31,32,31,,,26,42,5,4788.86,,26,40,3,4788.86,,28,43,2,4788.86,,27,42,1,4788.86,
15:01:40 03/17/12,29,29,30,30,,,26,42,0,4788.86,,26,40,0,4788.86,,28,43,2,4788.86,,27,42,1,4788.86,
15:01:50 03/17/12,28,28,30,27,,,26,42,4,4788.86,,26,40,3,4788.86,,28,43,3,4788.86,,27,42,3,4788.86,
15:02:00 03/17/12,38,29,30,28,,,26,42,16,4788.86,,26,40,4,4788.86,,28,43,4,4788.86,,27,42,4,4788.86,
15:02:10 03/17/12,27,39,31,28,,,26,42,1,4788.86,,26,40,2,4788.86,,28,43,0,4788.86,,27,42,2,4788.86,
15:02:20 03/17/12,28,28,30,28,,,26,42,2,4788.86,,26,40,2,4788.86,,28,43,2,4788.86,,27,42,2,4788.86,
15:02:30 03/17/12,28,27,30,28,,,26,42,0,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,3,4788.86,
15:02:40 03/17/12,31,31,31,31,,,26,42,1,4788.86,,26,40,0,4788.86,,28,43,11,4788.86,,27,42,0,4788.86,
15:02:50 03/17/12,28,27,30,28,,,26,42,0,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:03:00 03/17/12,27,28,31,27,,,26,42,0,4788.86,,26,40,1,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:03:10 03/17/12,31,30,31,30,,,26,42,3,4788.86,,26,40,4,4788.86,,28,43,2,4788.86,,27,42,5,4788.86,
15:03:20 03/17/12,31,31,31,31,,,26,42,0,4788.86,,26,40,2,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:03:30 03/17/12,27,29,31,28,,,26,42,6,4788.86,,26,40,2,4788.86,,28,43,2,4788.86,,27,42,1,4788.86,
15:03:40 03/17/12,31,29,30,31,,,26,42,0,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:03:50 03/17/12,28,28,30,28,,,26,42,1,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,4,4788.86,
15:04:00 03/17/12,33,33,33,33,,,26,42,1,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,1,4788.86,
15:04:10 03/17/12,31,31,32,31,,,26,42,1,4788.86,,26,40,10,4788.86,,28,43,10,4788.86,,27,42,4,4788.86,
15:04:20 03/17/12,31,31,32,31,,,26,42,0,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:04:30 03/17/12,30,31,33,30,,,26,42,3,4788.86,,26,40,1,4788.86,,28,43,7,4788.86,,27,42,1,4788.86,
15:04:40 03/17/12,30,30,34,30,,,26,42,1,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:04:50 03/17/12,33,33,33,33,,,26,42,7,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,5,4788.86,
15:05:00 03/17/12,33,33,34,33,,,26,42,0,4788.86,,26,40,0,4788.86,,28,43,1,4788.86,,27,42,2,4788.86,
15:05:10 03/17/12,31,30,31,30,,,26,42,1,4788.86,,26,40,0,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:05:20 03/17/12,30,30,31,30,,,26,42,0,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:05:30 03/17/12,30,30,32,31,,,26,42,1,4788.86,,26,40,1,4788.86,,28,43,3,4788.86,,27,42,0,4788.86,
15:05:40 03/17/12,29,28,30,31,,,26,42,2,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,3,4788.86,
15:05:50 03/17/12,32,30,32,31,,,26,42,1,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,3,4788.86,
15:06:00 03/17/12,30,30,33,30,,,26,45,4,4788.86,,26,40,2,4788.86,,28,43,0,4788.86,,27,42,5,4788.86,
15:06:10 03/17/12,29,28,37,29,,,26,45,2,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,1,4788.86,
15:06:20 03/17/12,30,29,31,28,,,26,45,2,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:06:30 03/17/12,30,28,31,29,,,26,45,0,4788.86,,26,40,1,4788.86,,28,43,2,4788.86,,27,42,2,4788.86,
15:06:40 03/17/12,31,32,33,31,,,26,45,3,4788.86,,26,40,4,4788.86,,28,43,4,4788.86,,27,42,1,4788.86,
15:06:50 03/17/12,31,31,32,32,,,26,45,1,4788.86,,26,40,0,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:07:00 03/17/12,28,30,31,29,,,26,45,0,4788.86,,26,40,0,4788.86,,28,43,3,4788.86,,27,42,0,4788.86,
15:07:10 03/17/12,32,32,32,32,,,26,45,1,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,1,4788.86,
15:07:20 03/17/12,31,29,31,28,,,26,45,0,4788.86,,26,40,0,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:07:30 03/17/12,30,30,31,29,,,26,45,2,4788.86,,26,40,0,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:07:40 03/17/12,29,31,31,30,,,26,45,0,4788.86,,26,40,0,4788.86,,28,43,1,4788.86,,27,42,1,4788.86,
15:07:50 03/17/12,31,32,32,31,,,26,45,1,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:08:00 03/17/12,32,31,32,32,,,26,45,0,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:08:10 03/17/12,31,31,31,31,,,26,45,2,4788.86,,26,40,1,4788.86,,28,43,1,4788.86,,27,42,1,4788.86,
15:08:20 03/17/12,30,29,31,29,,,26,45,0,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:08:30 03/17/12,32,31,32,31,,,26,45,0,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:08:40 03/17/12,33,33,33,33,,,26,45,0,4788.86,,26,40,0,4788.86,,28,43,0,4788.86,,27,42,1,4788.86,
15:08:50 03/17/12,33,30,32,29,,,26,45,2,4788.86,,26,40,0,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:09:00 03/17/12,32,33,33,29,,,26,45,0,4788.86,,26,40,0,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:09:10 03/17/12,32,31,34,32,,,26,45,7,4788.86,,26,40,2,4788.86,,28,43,1,4788.86,,27,42,2,4788.86,
15:09:20 03/17/12,37,37,38,37,,,26,47,0,4788.86,,26,48,0,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:09:30 03/17/12,33,33,33,33,,,26,47,1,4788.86,,26,48,0,4788.86,,28,43,1,4788.86,,27,42,0,4788.86,
15:09:40 03/17/12,32,32,32,32,,,26,47,0,4788.86,,26,48,1,4788.86,,28,43,1,4788.86,,27,42,1,4788.86,
15:09:50 03/17/12,32,32,33,32,,,26,47,0,4788.86,,26,48,0,4788.86,,28,43,0,4788.86,,27,42,0,4788.86,
15:10:00 03/17/12,31,30,35,42,,,26,47,1,4788.86,,26,48,3,4788.86,,28,46,2,4788.86,,27,42,28,4788.86,
15:10:10 03/17/12,32,32,32,32,,,26,47,0,4788.86,,26,48,1,4788.86,,28,46,0,4788.86,,27,42,0,4788.86,
15:10:20 03/17/12,31,33,33,32,,,26,47,1,4788.86,,26,48,2,4788.86,,28,46,0,4788.86,,27,42,2,4788.86,
15:10:30 03/17/12,31,31,33,31,,,26,47,4,4788.86,,26,48,0,4788.86,,28,46,1,4788.86,,27,42,1,4788.86,
15:10:40 03/17/12,29,31,34,30,,,26,47,1,4788.86,,26,48,0,4788.86,,28,46,0,4788.86,,27,42,0,4788.86,
15:10:50 03/17/12,31,31,33,31,,,26,47,0,4788.86,,26,48,6,4788.86,,28,46,3,4788.86,,27,42,4,4788.86,
15:11:00 03/17/12,45,47,42,47,,,26,47,24,4788.86,,26,48,8,4788.86,,28,46,10,4788.86,,27,47,20,4788.86,
15:11:10 03/17/12,32,32,32,32,,,26,49,0,4788.86,,26,48,0,4788.86,,28,46,0,4788.86,,27,47,0,4788.86,
15:11:20 03/17/12,29,30,31,30,,,26,49,1,4788.86,,26,48,1,4788.86,,28,46,1,4788.86,,27,47,1,4788.86,
15:11:30 03/17/12,33,33,33,33,,,26,49,1,4788.86,,26,48,2,4788.86,,28,46,2,4788.86,,27,47,1,4788.86,
15:11:40 03/17/12,35,36,37,36,,,26,49,1,4788.86,,26,48,1,4788.86,,28,46,1,4788.86,,27,47,0,4788.86,
15:11:50 03/17/12,33,28,30,29,,,26,49,1,4788.86,,26,48,0,4788.86,,28,46,0,4788.86,,27,47,0,4788.86,
15:12:00 03/17/12,31,30,31,31,,,26,49,0,4788.86,,26,48,0,4788.86,,28,46,0,4788.86,,27,47,0,4788.86,
15:12:10 03/17/12,29,30,31,30,,,26,49,1,4788.86,,26,48,1,4788.86,,28,46,1,4788.86,,27,47,0,4788.86,
15:12:20 03/17/12,30,30,34,30,,,26,49,1,4788.86,,26,48,4,4788.86,,28,46,1,4788.86,,27,47,3,4788.86,
15:12:30 03/17/12,30,30,31,29,,,26,49,1,4788.86,,26,48,0,4788.86,,28,46,0,4788.86,,27,47,0,4788.86,
15:12:40 03/17/12,31,30,34,32,,,26,49,4,4788.86,,26,48,0,4788.86,,28,46,0,4788.86,,27,47,5,4788.86,
15:12:50 03/17/12,33,33,33,33,,,26,49,1,4788.86,,26,48,0,4788.86,,28,46,1,4788.86,,27,47,0,4788.86,
15:13:00 03/17/12,32,32,32,32,,,26,49,0,4788.86,,26,48,0,4788.86,,28,46,1,4788.86,,27,47,0,4788.86,
15:13:10 03/17/12,30,32,33,30,,,26,49,1,4788.86,,26,48,0,4788.86,,28,46,1,4788.86,,27,47,0,4788.86,
15:13:20 03/17/12,31,31,31,31,,,26,49,0,4788.86,,26,48,1,4788.86,,28,46,0,4788.86,,27,47,0,4788.86,
