CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,20:48:42 - April 05 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
20:49:03 04/05/12,28,30,31,28,,,28,42,1,4788.94,,29,43,6,4788.94,,31,46,1,4788.94,,28,32,2,4788.94,
20:49:13 04/05/12,28,29,30,29,,,28,45,4,4788.94,,28,43,3,4788.94,,29,46,1,4788.94,,28,32,3,4788.94,
20:49:23 04/05/12,27,28,29,28,,,26,45,0,4788.94,,28,43,0,4788.94,,29,46,1,4788.94,,28,33,1,4788.94,
20:49:33 04/05/12,27,29,30,28,,,26,45,1,4788.94,,28,43,2,4788.94,,29,46,3,4788.94,,27,35,1,4788.94,
20:49:43 04/05/12,28,30,31,28,,,26,45,2,4788.94,,28,43,2,4788.94,,29,46,10,4788.94,,27,35,2,4788.94,
20:49:53 04/05/12,27,28,31,27,,,26,45,1,4788.94,,27,43,2,4788.94,,29,46,1,4788.94,,27,35,3,4788.94,
20:50:03 04/05/12,28,30,31,29,,,26,45,0,4788.94,,27,43,0,4788.94,,29,46,0,4788.94,,27,35,0,4788.94,
20:50:13 04/05/12,31,30,31,30,,,26,45,1,4788.94,,27,43,0,4788.94,,29,46,0,4788.94,,27,35,0,4788.94,
20:50:23 04/05/12,28,28,30,28,,,26,45,0,4788.94,,27,43,0,4788.94,,29,46,1,4788.94,,27,35,2,4788.94,
20:50:33 04/05/12,31,31,31,31,,,26,45,0,4788.94,,27,43,2,4788.94,,29,46,1,4788.94,,27,35,0,4788.94,
20:50:43 04/05/12,32,32,32,32,,,26,45,5,4788.94,,27,43,1,4788.94,,29,46,6,4788.94,,27,35,1,4788.94,
20:50:53 04/05/12,32,32,32,32,,,26,45,1,4788.94,,27,43,3,4788.94,,29,46,2,4788.94,,27,35,1,4788.94,
20:51:03 04/05/12,29,30,36,31,,,26,45,0,4788.94,,27,43,0,4788.94,,29,46,5,4788.94,,27,36,0,4788.94,
