CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,21:50:25 - May 31 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
21:50:35 05/31/12,29,30,30,29,,,29,40,2,4788.75,,29,41,2,4788.75,,30,42,0,4788.75,,29,35,0,4788.75,
21:50:45 05/31/12,31,31,33,29,,,28,43,2,4788.75,,29,41,4,4788.75,,30,42,4,4788.75,,29,35,1,4788.75,
21:50:55 05/31/12,29,31,32,31,,,28,49,4,4788.75,,29,41,0,4788.75,,30,42,2,4788.75,,29,35,4,4788.75,
21:51:05 05/31/12,31,31,33,32,,,28,49,2,4788.75,,29,43,15,4788.75,,30,42,7,4788.75,,29,35,2,4788.75,
21:51:15 05/31/12,33,33,33,33,,,28,49,0,4788.75,,29,43,1,4788.75,,30,42,6,4788.75,,29,35,4,4788.75,
21:51:25 05/31/12,32,31,32,30,,,28,49,0,4788.75,,29,43,9,4788.75,,30,42,0,4788.75,,29,35,7,4788.75,
21:51:35 05/31/12,32,32,32,31,,,28,49,1,4788.75,,29,43,1,4788.75,,30,42,8,4788.75,,29,35,6,4788.75,
21:51:45 05/31/12,30,30,33,29,,,28,49,2,4788.75,,28,43,1,4788.75,,30,42,1,4788.75,,29,35,1,4788.75,
21:51:55 05/31/12,29,30,32,30,,,28,49,10,4788.75,,28,43,0,4788.75,,30,42,10,4788.75,,29,35,11,4788.75,
21:52:05 05/31/12,33,33,33,33,,,28,49,12,4788.75,,28,43,0,4788.75,,30,42,0,4788.75,,29,35,11,4788.75,
21:52:15 05/31/12,30,30,33,29,,,28,49,0,4788.75,,28,43,0,4788.75,,30,42,0,4788.75,,29,35,0,4788.75,
21:52:25 05/31/12,31,30,32,31,,,28,49,4,4788.75,,28,43,1,4788.75,,30,42,1,4788.75,,29,35,2,4788.75,
21:52:35 05/31/12,30,29,32,30,,,28,49,1,4788.75,,28,43,2,4788.75,,30,42,1,4788.75,,28,35,13,4788.75,
21:52:45 05/31/12,34,34,35,34,,,28,49,7,4788.75,,28,43,0,4788.75,,30,42,1,4788.75,,28,35,6,4788.75,
21:52:55 05/31/12,30,29,30,31,,,28,49,1,4788.75,,28,43,1,4788.75,,30,42,1,4788.75,,28,35,3,4788.75,
21:53:05 05/31/12,33,32,33,30,,,28,49,9,4788.75,,28,43,8,4788.75,,30,42,8,4788.75,,28,35,8,4788.75,
21:53:15 05/31/12,30,31,33,30,,,28,49,1,4788.75,,28,43,0,4788.75,,30,42,0,4788.75,,28,35,0,4788.75,
21:53:25 05/31/12,33,33,34,32,,,28,49,13,4788.75,,28,44,1,4788.75,,30,42,1,4788.75,,28,35,5,4788.75,
21:53:35 05/31/12,30,30,31,30,,,28,49,3,4788.75,,28,49,1,4788.75,,30,42,0,4788.75,,28,39,1,4788.75,
21:53:45 05/31/12,30,30,33,30,,,28,49,7,4788.75,,28,49,9,4788.75,,30,42,4,4788.75,,28,39,2,4788.75,
21:53:55 05/31/12,31,32,32,32,,,28,49,0,4788.75,,28,49,2,4788.75,,30,42,0,4788.75,,28,39,0,4788.75,
21:54:05 05/31/12,31,31,32,30,,,28,49,0,4788.75,,28,49,0,4788.75,,30,42,0,4788.75,,28,39,1,4788.75,
21:54:15 05/31/12,33,33,33,33,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,39,1,4788.75,
21:54:25 05/31/12,31,33,34,33,,,28,49,6,4788.75,,28,49,2,4788.75,,30,42,3,4788.75,,28,39,9,4788.75,
21:54:35 05/31/12,34,34,34,34,,,28,49,3,4788.75,,28,49,6,4788.75,,30,42,0,4788.75,,28,39,2,4788.75,
21:54:45 05/31/12,34,34,34,34,,,28,49,6,4788.75,,28,49,12,4788.75,,30,42,0,4788.75,,28,39,6,4788.75,
21:54:55 05/31/12,34,34,34,34,,,28,49,2,4788.75,,28,49,6,4788.75,,30,42,2,4788.75,,28,39,4,4788.75,
21:55:05 05/31/12,33,33,34,33,,,28,49,0,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,39,0,4788.75,
21:55:15 05/31/12,31,31,33,30,,,28,49,0,4788.75,,28,49,1,4788.75,,30,42,7,4788.75,,28,39,0,4788.75,
21:55:25 05/31/12,31,32,34,32,,,28,49,2,4788.75,,28,49,0,4788.75,,30,42,1,4788.75,,28,39,1,4788.75,
21:55:36 05/31/12,30,32,34,31,,,28,49,11,4788.75,,28,49,0,4788.75,,30,42,1,4788.75,,28,39,0,4788.75,
21:55:46 05/31/12,31,32,34,32,,,28,49,4,4788.75,,28,49,7,4788.75,,30,42,6,4788.75,,28,39,1,4788.75,
21:55:56 05/31/12,31,32,34,32,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,9,4788.75,,28,39,1,4788.75,
21:56:06 05/31/12,34,34,34,33,,,28,49,4,4788.75,,28,49,4,4788.75,,30,42,0,4788.75,,28,39,3,4788.75,
21:56:16 05/31/12,30,32,32,30,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,39,1,4788.75,
21:56:26 05/31/12,31,32,35,32,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,0,4788.75,,28,39,0,4788.75,
21:56:36 05/31/12,30,32,34,31,,,28,49,7,4788.75,,28,49,1,4788.75,,30,42,0,4788.75,,28,39,1,4788.75,
21:56:46 05/31/12,30,38,35,32,,,28,49,3,4788.75,,28,49,4,4788.75,,30,42,6,4788.75,,28,39,10,4788.75,
21:56:56 05/31/12,32,32,34,32,,,28,49,2,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,39,1,4788.75,
21:57:06 05/31/12,32,32,34,31,,,28,49,0,4788.75,,28,49,0,4788.75,,30,42,0,4788.75,,28,39,0,4788.75,
21:57:16 05/31/12,35,35,35,35,,,28,49,7,4788.75,,28,49,7,4788.75,,30,42,1,4788.75,,28,39,5,4788.75,
21:57:26 05/31/12,32,32,34,32,,,28,49,1,4788.75,,28,49,2,1596.25,,30,42,0,4788.75,,28,44,9,4788.75,
21:57:36 05/31/12,31,32,34,32,,,28,49,0,4788.75,,28,49,0,4788.75,,30,42,0,4788.75,,28,44,0,4788.75,
21:57:46 05/31/12,31,32,34,31,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,44,0,4788.75,
21:57:56 05/31/12,33,34,34,33,,,28,49,12,4788.75,,28,49,0,4788.75,,30,42,0,4788.75,,28,44,0,4788.75,
21:58:06 05/31/12,32,32,34,33,,,28,49,0,4788.75,,28,49,0,4788.75,,30,42,0,4788.75,,28,44,0,4788.75,
21:58:16 05/31/12,34,32,35,31,,,28,49,0,4788.75,,28,49,0,4788.75,,30,42,5,4788.75,,28,44,1,4788.75,
21:58:26 05/31/12,32,33,34,31,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,44,1,4788.75,
21:58:36 05/31/12,31,32,34,31,,,28,49,6,4788.75,,28,49,12,4788.75,,30,42,2,4788.75,,28,44,4,4788.75,
21:58:46 05/31/12,35,35,35,35,,,28,49,1,4788.75,,28,49,0,4788.75,,30,42,0,4788.75,,28,44,2,4788.75,
21:58:56 05/31/12,32,31,34,31,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,44,1,4788.75,
21:59:06 05/31/12,31,31,35,32,,,28,49,0,4788.75,,28,49,8,4788.75,,30,42,1,4788.75,,28,44,1,4788.75,
21:59:16 05/31/12,32,32,34,32,,,28,49,0,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,44,1,4788.75,
21:59:26 05/31/12,31,33,34,32,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,44,1,4788.75,
21:59:36 05/31/12,34,35,36,34,,,28,49,1,4788.75,,28,49,7,4788.75,,30,42,0,4788.75,,28,44,1,4788.75,
21:59:46 05/31/12,32,34,35,32,,,28,49,7,4788.75,,28,49,3,4788.75,,30,42,1,4788.75,,28,44,7,4788.75,
21:59:56 05/31/12,32,32,34,32,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,44,1,4788.75,
22:00:06 05/31/12,35,35,35,35,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,44,1,4788.75,
22:00:16 05/31/12,32,33,35,32,,,28,49,7,4788.75,,28,49,8,4788.75,,30,42,1,4788.75,,28,44,4,4788.75,
22:00:26 05/31/12,32,33,35,34,,,28,49,3,4788.75,,28,49,3,4788.75,,30,42,0,4788.75,,28,44,3,4788.75,
22:00:36 05/31/12,33,34,35,34,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,44,1,4788.75,
22:00:46 05/31/12,35,36,36,36,,,28,49,2,4788.75,,28,49,2,4788.75,,30,42,7,4788.75,,28,44,0,4788.75,
22:00:56 05/31/12,35,35,35,35,,,28,49,0,4788.75,,28,49,1,4788.75,,30,42,0,4788.75,,28,44,0,4788.75,
22:01:06 05/31/12,32,33,34,31,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,1,4788.75,,28,44,1,4788.75,
22:01:16 05/31/12,31,33,35,32,,,28,49,1,4788.75,,28,49,1,4788.75,,30,42,2,4788.75,,28,44,1,4788.75,
