CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,16:46:08 - June 23 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
16:46:18 06/23/12,31,30,33,31,,,31,43,0,4789.07,,30,41,0,4789.07,,32,45,4,4789.07,,31,39,1,4789.07,
16:46:28 06/23/12,33,32,33,33,,,30,43,0,4789.07,,30,41,3,4789.07,,31,45,0,4789.07,,30,39,0,4789.07,
16:46:38 06/23/12,32,32,33,32,,,30,43,0,4789.07,,29,41,1,4789.07,,31,45,0,4789.07,,30,39,1,4789.07,
16:46:48 06/23/12,32,31,33,30,,,30,43,3,4789.07,,29,44,1,4789.07,,31,46,1,4789.07,,30,39,1,4789.07,
16:46:58 06/23/12,39,40,49,44,,,30,43,13,4789.07,,29,44,22,4789.07,,31,49,11,4789.07,,29,44,5,4789.07,
16:47:08 06/23/12,34,34,35,34,,,30,43,3,4789.07,,29,44,4,4789.07,,31,49,2,4789.07,,29,44,4,4789.07,
16:47:18 06/23/12,31,32,32,31,,,30,43,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,29,44,0,4789.07,
16:47:28 06/23/12,34,34,34,34,,,30,43,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,29,44,1,4789.07,
16:47:38 06/23/12,31,32,32,31,,,30,43,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,29,44,0,4789.07,
16:47:48 06/23/12,32,32,34,33,,,30,43,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,29,44,0,4789.07,
16:47:58 06/23/12,31,30,32,32,,,30,43,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,44,0,4789.07,
16:48:08 06/23/12,33,33,33,33,,,30,45,1,4789.07,,29,44,1,4789.07,,31,49,1,4789.07,,28,44,0,4789.07,
16:48:18 06/23/12,31,31,32,30,,,30,45,0,4789.07,,29,44,1,4789.07,,31,49,1,4789.07,,28,44,0,4789.07,
16:48:28 06/23/12,31,30,32,31,,,30,45,2,4789.07,,29,44,1,4789.07,,31,49,1,4789.07,,28,44,1,4789.07,
16:48:38 06/23/12,30,30,34,32,,,30,45,1,4789.07,,29,44,1,4789.07,,31,49,1,4789.07,,28,44,1,4789.07,
16:48:48 06/23/12,32,30,32,31,,,30,45,4,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,44,0,4789.07,
16:48:58 06/23/12,32,30,33,31,,,30,45,1,4789.07,,29,44,1,4789.07,,31,49,0,4789.07,,28,44,1,4789.07,
16:49:08 06/23/12,35,35,37,35,,,30,45,10,4789.07,,29,44,9,4789.07,,31,49,2,4789.07,,28,44,14,4789.07,
16:49:18 06/23/12,34,34,34,34,,,30,45,1,4789.07,,29,44,1,4789.07,,31,49,7,4789.07,,28,48,3,4789.07,
16:49:29 06/23/12,33,33,34,33,,,30,45,2,4789.07,,29,44,1,4789.07,,31,49,8,4789.07,,28,48,1,4789.07,
16:49:39 06/23/12,32,30,32,32,,,30,45,4,4789.07,,29,44,4,4789.07,,31,49,4,4789.07,,28,48,3,4789.07,
16:49:49 06/23/12,31,31,33,31,,,30,45,0,4789.07,,29,44,2,4789.07,,31,49,2,4789.07,,28,48,7,4789.07,
16:49:59 06/23/12,31,31,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,1,4789.07,
16:50:09 06/23/12,33,34,36,48,,,30,45,0,4789.07,,29,44,1,4789.07,,31,49,0,4789.07,,28,48,13,4789.07,
16:50:19 06/23/12,34,34,34,34,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
16:50:29 06/23/12,31,30,34,31,,,30,45,2,4789.07,,29,44,1,4789.07,,31,49,2,4789.07,,28,48,0,4789.07,
16:50:39 06/23/12,34,34,34,34,,,30,45,1,4789.07,,29,44,1,4789.07,,31,49,0,4789.07,,28,48,1,4789.07,
16:50:49 06/23/12,34,34,34,34,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:50:59 06/23/12,31,32,34,31,,,30,45,4,4789.07,,29,44,0,4789.07,,31,49,3,4789.07,,28,48,0,4789.07,
16:51:09 06/23/12,31,31,34,31,,,30,45,3,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,0,4789.07,
16:51:19 06/23/12,32,31,34,31,,,30,45,1,4789.07,,29,44,1,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:51:29 06/23/12,34,34,35,32,,,30,45,2,4789.07,,29,44,1,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:51:39 06/23/12,32,31,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,2,4789.07,,28,48,1,4789.07,
16:51:49 06/23/12,34,34,34,34,,,30,45,4,4789.07,,29,44,4,4789.07,,31,49,4,4789.07,,28,48,2,4789.07,
16:51:59 06/23/12,31,32,33,32,,,30,45,1,4789.07,,29,44,2,4789.07,,31,49,2,4789.07,,28,48,0,4789.07,
16:52:09 06/23/12,32,30,34,31,,,30,45,1,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,1,4789.07,
16:52:19 06/23/12,31,32,34,31,,,30,45,1,4789.07,,29,44,0,4789.07,,31,49,2,4789.07,,28,48,0,4789.07,
16:52:29 06/23/12,34,33,34,33,,,30,45,1,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,0,4789.07,
16:52:39 06/23/12,34,34,34,34,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
16:52:49 06/23/12,32,30,34,31,,,30,45,4,4789.07,,29,44,4,4789.07,,31,49,4,4789.07,,28,48,0,4789.07,
16:52:59 06/23/12,31,31,34,31,,,30,45,2,4789.07,,29,44,3,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:53:09 06/23/12,34,34,34,31,,,30,45,12,4789.07,,29,44,1,4789.07,,31,49,4,4789.07,,28,48,0,4789.07,
16:53:19 06/23/12,31,31,34,32,,,30,45,0,4789.07,,29,44,1,4789.07,,31,49,0,4789.07,,28,48,1,4789.07,
16:53:29 06/23/12,32,32,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,0,4789.07,
16:53:39 06/23/12,34,31,34,33,,,30,45,5,4789.07,,29,44,4,4789.07,,31,49,0,4789.07,,28,48,3,4789.07,
16:53:49 06/23/12,34,34,34,33,,,30,45,1,4789.07,,29,44,1,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:53:59 06/23/12,31,31,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,1,4789.07,
16:54:09 06/23/12,32,32,33,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:54:19 06/23/12,32,33,33,32,,,30,45,1,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,0,4789.07,
16:54:29 06/23/12,33,33,35,33,,,30,45,1,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:54:39 06/23/12,35,32,35,35,,,30,45,4,4789.07,,29,44,7,4789.07,,31,49,4,4789.07,,28,48,3,4789.07,
16:54:49 06/23/12,32,31,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:54:59 06/23/12,31,31,35,30,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,2,4789.07,
16:55:09 06/23/12,32,30,35,31,,,30,45,3,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,0,4789.07,
16:55:19 06/23/12,32,32,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:55:29 06/23/12,34,33,34,32,,,30,45,2,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,1,4789.07,
16:55:39 06/23/12,32,33,35,32,,,30,45,1,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,2,4789.07,
16:55:49 06/23/12,31,33,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,1,4789.07,
16:55:59 06/23/12,32,32,33,31,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,1,4789.07,,28,48,0,4789.07,
16:56:09 06/23/12,34,33,35,34,,,30,45,1,4789.07,,29,44,1,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:56:19 06/23/12,32,32,35,32,,,30,45,0,4789.07,,29,44,1,4789.07,,31,49,0,4789.07,,28,48,1,4789.07,
16:56:29 06/23/12,32,32,34,31,,,30,45,3,4789.07,,29,44,3,4789.07,,31,49,0,4789.07,,28,48,3,4789.07,
16:56:39 06/23/12,34,34,35,34,,,30,45,0,4789.07,,29,44,4,4789.07,,31,49,5,4789.07,,28,48,0,4789.07,
16:56:49 06/23/12,34,34,35,33,,,30,45,5,4789.07,,29,44,1,4789.07,,31,49,2,4789.07,,28,48,1,4789.07,
16:56:59 06/23/12,33,34,35,33,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
16:57:09 06/23/12,34,34,35,34,,,30,45,0,4789.07,,29,44,7,4789.07,,31,49,1,4789.07,,28,48,4,4789.07,
16:57:19 06/23/12,32,31,34,32,,,30,45,1,4789.07,,29,44,1,4789.07,,31,49,1,4789.07,,28,48,1,4789.07,
16:57:29 06/23/12,32,32,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
16:57:39 06/23/12,33,32,35,32,,,30,45,4,4789.07,,29,44,4,4789.07,,31,49,4,4789.07,,28,48,0,4789.07,
16:57:49 06/23/12,33,34,35,34,,,30,45,1,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,2,4789.07,
16:57:59 06/23/12,31,32,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
16:58:09 06/23/12,32,33,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
16:58:19 06/23/12,35,35,35,35,,,30,45,0,4789.07,,29,44,7,4789.07,,31,49,0,4789.07,,28,48,5,4789.07,
16:58:29 06/23/12,34,34,35,34,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
16:58:39 06/23/12,34,34,35,34,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
16:58:49 06/23/12,33,32,34,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
16:58:59 06/23/12,32,33,35,32,,,30,45,0,4789.07,,29,44,0,4789.07,,31,49,0,4789.07,,28,48,0,4789.07,
