CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,23:37:14 - July 17 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
23:37:24 07/17/12,41,37,35,33,,,31,43,23,4789.24,,32,43,1,4789.24,,33,39,1,4789.24,,32,36,2,4789.24,
23:37:34 07/17/12,31,32,33,32,,,31,46,1,4789.24,,32,44,6,4789.24,,33,50,0,4789.24,,32,36,0,4789.24,
23:37:44 07/17/12,34,33,34,33,,,31,46,4,4789.24,,32,44,12,4789.24,,33,50,2,4789.24,,32,42,0,4789.24,
23:37:54 07/17/12,31,31,34,32,,,31,46,0,4789.24,,31,48,1,4789.24,,33,50,1,4789.24,,32,42,0,4789.24,
23:38:04 07/17/12,34,34,35,34,,,31,46,1,4789.24,,31,48,2,4789.24,,33,50,1,4789.24,,31,42,3,4789.24,
23:38:14 07/17/12,32,35,35,32,,,31,46,2,4789.24,,31,48,8,4789.24,,33,50,0,4789.24,,31,42,2,4789.24,
23:38:24 07/17/12,34,35,35,32,,,31,46,7,4789.24,,31,48,10,4789.24,,33,50,4,4789.24,,31,42,0,4789.24,
23:38:34 07/17/12,31,32,34,32,,,31,46,2,4789.24,,31,48,1,4789.24,,33,50,1,4789.24,,31,42,0,4789.24,
23:38:44 07/17/12,34,34,35,31,,,31,46,9,4789.24,,31,48,6,4789.24,,33,50,0,4789.24,,31,42,4,4789.24,
23:38:54 07/17/12,32,32,34,31,,,31,46,1,4789.24,,31,48,0,4789.24,,33,50,1,4789.24,,31,42,0,4789.24,
23:39:04 07/17/12,35,35,36,35,,,31,46,0,4789.24,,31,48,0,4789.24,,33,50,0,4789.24,,31,42,0,4789.24,
23:39:14 07/17/12,32,33,35,32,,,31,46,3,4789.24,,31,48,2,4789.24,,33,50,0,4789.24,,31,42,2,4789.24,
23:39:24 07/17/12,31,33,35,32,,,31,46,1,4789.24,,31,48,4,4789.24,,33,50,0,4789.24,,31,42,0,4789.24,
23:39:34 07/17/12,34,35,36,33,,,31,46,26,4789.24,,31,48,0,4789.24,,33,50,1,4789.24,,31,42,4,4789.24,
23:39:44 07/17/12,33,32,34,32,,,31,46,1,4789.24,,31,48,2,4789.24,,33,50,4,4789.24,,31,42,4,4789.24,
23:39:54 07/17/12,33,33,33,30,,,31,46,2,4789.24,,31,48,0,4789.24,,33,50,3,4789.24,,30,42,0,4789.24,
23:40:04 07/17/12,35,35,36,33,,,31,46,8,4789.24,,31,48,8,4789.24,,33,50,5,4789.24,,30,42,6,4789.24,
23:40:14 07/17/12,34,34,35,34,,,31,46,0,4789.24,,31,49,5,4789.24,,33,50,8,4789.24,,30,44,6,4789.24,
23:40:24 07/17/12,35,35,36,35,,,31,46,0,4789.24,,31,49,0,4789.24,,33,50,1,4789.24,,30,44,2,4789.24,
23:40:34 07/17/12,34,34,35,33,,,31,46,6,4789.24,,31,49,4,4789.24,,33,50,3,4789.24,,30,44,0,4789.24,
23:40:44 07/17/12,35,41,41,36,,,31,46,0,4789.24,,31,49,4,4789.24,,33,50,0,4789.24,,30,44,1,4789.24,
23:40:54 07/17/12,32,34,35,33,,,31,46,0,4789.24,,31,49,6,4789.24,,33,50,4,4789.24,,30,44,4,4789.24,
23:41:04 07/17/12,33,32,34,32,,,31,46,7,4789.24,,31,49,2,4789.24,,33,50,1,4789.24,,30,44,1,4789.24,
23:41:14 07/17/12,33,34,35,32,,,31,46,0,4789.24,,31,49,5,4789.24,,33,50,6,4789.24,,30,44,4,4789.24,
23:41:24 07/17/12,33,34,35,31,,,31,46,1,4789.24,,31,49,0,4789.24,,33,50,0,4789.24,,30,44,0,4789.24,
23:41:34 07/17/12,34,34,34,32,,,31,46,0,4789.24,,31,49,1,4789.24,,33,50,1,4789.24,,30,44,1,4789.24,
23:41:44 07/17/12,33,34,34,32,,,31,46,1,4789.24,,31,49,1,4789.24,,33,50,1,4789.24,,30,44,1,4789.24,
23:41:54 07/17/12,33,35,35,33,,,31,46,12,4789.24,,31,49,11,4789.24,,33,50,11,4789.24,,30,44,11,4789.24,
23:42:04 07/17/12,36,36,36,36,,,31,46,2,4789.24,,31,49,1,4789.24,,33,50,1,4789.24,,30,44,2,4789.24,
23:42:14 07/17/12,35,33,36,33,,,31,46,0,4789.24,,31,49,3,4789.24,,33,50,3,4789.24,,30,44,0,4789.24,
23:42:24 07/17/12,39,36,38,37,,,31,46,1,4789.24,,31,49,0,4789.24,,33,50,0,4789.24,,30,44,0,4789.24,
23:42:34 07/17/12,35,35,37,34,,,31,46,7,4789.24,,31,49,4,4789.24,,33,52,0,4789.24,,30,48,4,4789.24,
23:42:44 07/17/12,36,36,37,35,,,31,46,4,4789.24,,31,50,4,4789.24,,33,52,4,4789.24,,30,50,1,4789.24,
23:42:54 07/17/12,35,35,35,32,,,31,46,0,4789.24,,31,50,5,4789.24,,33,52,3,4789.24,,30,50,3,4789.24,
23:43:04 07/17/12,31,34,36,33,,,31,46,0,4789.24,,31,50,0,4789.24,,33,52,9,4789.24,,30,50,11,4789.24,
23:43:14 07/17/12,34,35,36,34,,,31,46,7,4789.24,,31,50,2,4789.24,,33,52,4,4789.24,,30,50,1,4789.24,
23:43:24 07/17/12,33,34,35,33,,,31,46,6,4789.24,,31,50,7,4789.24,,33,52,7,4789.24,,30,50,7,4789.24,
23:43:34 07/17/12,36,36,36,36,,,31,46,0,4789.24,,31,50,8,4789.24,,33,52,0,4789.24,,30,50,7,4789.24,
23:43:44 07/17/12,36,36,36,33,,,31,46,1,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:43:54 07/17/12,34,35,36,33,,,31,46,1,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:44:04 07/17/12,34,33,35,34,,,31,46,5,4789.24,,31,50,4,4789.24,,33,52,5,4789.24,,30,50,5,4789.24,
23:44:14 07/17/12,34,35,36,33,,,31,46,5,4789.24,,31,50,5,4789.24,,33,52,5,4789.24,,30,50,5,4789.24,
23:44:24 07/17/12,33,35,37,33,,,31,46,3,4789.24,,31,50,0,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
23:44:34 07/17/12,36,36,37,36,,,31,46,1,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:44:44 07/17/12,36,36,36,36,,,31,46,1,4789.24,,31,50,7,4789.24,,33,52,5,4789.24,,30,50,5,4789.24,
23:44:54 07/17/12,35,36,36,36,,,31,46,1,4789.24,,31,50,0,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
23:45:04 07/17/12,34,36,36,33,,,31,46,7,4789.24,,31,50,1,4789.24,,33,52,4,4789.24,,30,50,4,4789.24,
23:45:14 07/17/12,36,36,36,36,,,31,46,5,4789.24,,31,50,3,4789.24,,33,52,5,4789.24,,30,50,5,4789.24,
23:45:24 07/17/12,36,34,36,34,,,31,46,0,4789.24,,31,50,5,4789.24,,33,52,4,4789.24,,30,50,5,4789.24,
23:45:34 07/17/12,36,36,37,36,,,31,46,5,4789.24,,31,50,0,4789.24,,33,52,2,4789.24,,30,50,1,4789.24,
23:45:44 07/17/12,37,37,37,37,,,31,46,0,4789.24,,31,50,0,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
23:45:54 07/17/12,34,34,36,33,,,31,46,5,4789.24,,31,50,0,4789.24,,33,52,1,4789.24,,30,50,2,4789.24,
23:46:04 07/17/12,35,34,37,33,,,31,46,4,4789.24,,31,50,9,4789.24,,33,52,6,4789.24,,30,50,6,4789.24,
23:46:14 07/17/12,34,35,37,35,,,31,46,2,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:46:24 07/17/12,36,36,37,36,,,31,46,1,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:46:34 07/17/12,37,37,38,37,,,31,46,2,4789.24,,31,50,11,4789.24,,33,52,11,4789.24,,30,50,11,4789.24,
23:46:44 07/17/12,36,36,36,36,,,31,46,6,4789.24,,31,50,5,4789.24,,33,52,5,4789.24,,30,50,5,4789.24,
23:46:54 07/17/12,35,34,36,34,,,31,46,5,4789.24,,31,50,0,4789.24,,33,52,1,4789.24,,30,50,0,4789.24,
23:47:04 07/17/12,35,34,35,33,,,31,46,1,4789.24,,31,50,2,4789.24,,33,52,1,4789.24,,30,50,2,4789.24,
23:47:14 07/17/12,35,35,36,33,,,31,46,1,4789.24,,31,50,1,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
23:47:24 07/17/12,34,35,37,34,,,31,46,0,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:47:34 07/17/12,37,37,37,37,,,31,46,0,4789.24,,31,50,0,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
23:47:44 07/17/12,33,34,36,35,,,31,46,1,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:47:54 07/17/12,37,37,37,37,,,31,46,4,4789.24,,31,50,4,4789.24,,33,52,4,4789.24,,30,50,4,4789.24,
23:48:04 07/17/12,35,34,36,34,,,31,46,0,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:48:14 07/17/12,36,35,37,34,,,31,46,0,4789.24,,31,50,2,4789.24,,33,52,2,4789.24,,30,50,2,4789.24,
23:48:24 07/17/12,35,34,36,34,,,31,46,2,4789.24,,31,50,2,4789.24,,33,52,2,4789.24,,30,50,2,4789.24,
23:48:34 07/17/12,34,36,37,34,,,31,46,0,4789.24,,31,50,5,4789.24,,33,52,5,4789.24,,30,50,5,4789.24,
23:48:44 07/17/12,35,35,36,34,,,31,46,1,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:48:54 07/17/12,35,37,36,34,,,31,46,1,4789.24,,31,50,2,4789.24,,33,52,8,4789.24,,30,50,1,4789.24,
23:49:04 07/17/12,35,36,37,35,,,31,46,1,4789.24,,31,50,0,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
23:49:14 07/17/12,36,36,36,36,,,31,46,5,4789.24,,31,50,0,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
23:49:24 07/17/12,37,37,37,36,,,31,46,1,4789.24,,31,50,2,4789.24,,33,52,1,4789.24,,30,50,3,4789.24,
23:49:34 07/17/12,36,36,36,33,,,31,46,1,4789.24,,31,50,2,4789.24,,33,52,5,4789.24,,30,50,5,4789.24,
23:49:44 07/17/12,36,35,37,36,,,31,46,1,4789.24,,31,50,0,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
23:49:54 07/17/12,36,37,37,36,,,31,46,4,4789.24,,31,50,3,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:50:04 07/17/12,35,34,37,34,,,31,46,4,4789.24,,31,50,3,4789.24,,33,52,3,4789.24,,30,50,3,4789.24,
23:50:14 07/17/12,37,37,37,37,,,31,46,2,4789.24,,31,50,2,4789.24,,33,52,1,4789.24,,30,50,0,4789.24,
23:50:24 07/17/12,36,37,37,37,,,31,46,12,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:50:34 07/17/12,35,34,36,33,,,31,46,2,4789.24,,31,50,4,4789.24,,33,52,2,4789.24,,30,50,4,4789.24,
23:50:44 07/17/12,37,37,37,37,,,31,46,2,4789.24,,31,50,4,4789.24,,33,52,4,4789.24,,30,50,4,4789.24,
23:50:54 07/17/12,35,36,36,35,,,31,46,4,4789.24,,31,50,0,4789.24,,33,52,0,4789.24,,30,50,2,4789.24,
23:51:04 07/17/12,35,34,37,34,,,31,46,6,4789.24,,31,50,3,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:51:14 07/17/12,35,36,37,34,,,31,46,2,4789.24,,31,50,0,4789.24,,33,52,1,4789.24,,30,50,3,4789.24,
23:51:24 07/17/12,36,36,36,36,,,31,46,1,4789.24,,31,50,1,4789.24,,33,52,0,4789.24,,30,50,1,4789.24,
23:51:34 07/17/12,35,35,36,32,,,31,46,1,4789.24,,31,50,7,4789.24,,33,52,7,4789.24,,30,50,0,4789.24,
23:51:44 07/17/12,35,35,35,33,,,31,46,16,4789.24,,31,50,7,4789.24,,33,52,7,4789.24,,30,50,8,4789.24,
23:51:54 07/17/12,35,36,37,33,,,31,46,4,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,0,4789.24,
23:52:04 07/17/12,36,35,35,34,,,31,46,3,4789.24,,31,50,7,4789.24,,33,52,8,4789.24,,30,50,7,4789.24,
23:52:14 07/17/12,37,37,37,37,,,31,46,0,4789.24,,31,50,1,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
23:52:24 07/17/12,36,38,38,34,,,31,46,1,4789.24,,31,50,2,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:52:34 07/17/12,37,37,37,37,,,31,46,2,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:52:44 07/17/12,37,37,37,37,,,31,46,1,4789.24,,31,50,9,4789.24,,33,52,1,4789.24,,30,50,3,4789.24,
23:52:54 07/17/12,36,37,39,36,,,31,46,0,4789.24,,31,50,1,4789.24,,33,52,1,4789.24,,30,50,1,4789.24,
23:53:04 07/17/12,35,36,38,34,,,31,46,3,4789.24,,31,50,3,4789.24,,33,52,3,4789.24,,30,50,3,4789.24,
23:53:14 07/17/12,37,37,38,37,,,31,46,2,4789.24,,31,50,5,4789.24,,33,52,4,4789.24,,30,50,5,4789.24,
23:53:24 07/17/12,35,36,37,33,,,31,46,0,4789.24,,31,50,0,4789.24,,33,52,0,4789.24,,30,50,0,4789.24,
