CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,21:34:52 - August 11 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
21:35:02 08/11/12,32,33,35,32,,,32,49,3,4788.92,,31,42,8,4788.92,,34,51,13,4788.92,,30,42,3,4788.92,
21:35:12 08/11/12,37,37,38,37,,,32,49,9,4788.92,,31,42,14,4788.92,,34,51,8,4788.92,,30,42,7,4788.92,
21:35:22 08/11/12,35,35,35,35,,,32,49,0,4788.92,,31,42,16,4788.92,,34,51,3,4788.92,,30,42,1,4788.92,
21:35:32 08/11/12,32,32,34,32,,,31,49,1,4788.92,,31,42,3,4788.92,,33,51,12,4788.92,,30,42,0,4788.92,
21:35:42 08/11/12,34,34,34,34,,,31,49,1,4788.92,,31,42,8,4788.92,,33,51,8,4788.92,,30,42,8,4788.92,
21:35:52 08/11/12,32,33,34,32,,,31,49,0,4788.92,,31,42,1,4788.92,,33,51,1,4788.92,,30,42,1,4788.92,
21:36:02 08/11/12,32,32,34,32,,,31,49,0,4788.92,,31,42,0,4788.92,,33,51,1,4788.92,,30,42,2,4788.92,
21:36:12 08/11/12,31,33,35,32,,,31,49,0,4788.92,,31,42,6,4788.92,,33,51,1,4788.92,,30,42,1,4788.92,
21:36:22 08/11/12,32,33,35,32,,,31,49,5,4788.92,,31,42,2,4788.92,,33,51,1,4788.92,,30,42,2,4788.92,
21:36:32 08/11/12,34,34,35,34,,,31,49,0,4788.92,,31,42,1,4788.92,,33,51,1,4788.92,,30,42,1,4788.92,
21:36:42 08/11/12,32,33,35,32,,,31,49,1,4788.92,,31,42,0,4788.92,,33,51,8,4788.92,,30,42,0,4788.92,
21:36:52 08/11/12,33,37,36,32,,,31,49,2,4788.92,,31,42,4,4788.92,,33,51,4,4788.92,,30,42,1,4788.92,
21:37:02 08/11/12,37,46,41,36,,,31,49,8,4788.92,,31,46,20,4788.92,,33,51,7,4788.92,,30,42,8,4788.92,
21:37:12 08/11/12,36,36,36,36,,,31,54,0,4788.92,,31,56,3,4788.92,,33,51,1,4788.92,,30,42,0,4788.92,
21:37:22 08/11/12,43,43,50,38,,,31,54,4,4788.92,,31,56,11,4788.92,,33,51,4,4788.92,,30,42,0,4788.92,
21:37:32 08/11/12,35,35,37,33,,,31,54,6,4788.92,,31,56,1,4788.92,,33,55,0,4788.92,,30,42,0,4788.92,
21:37:42 08/11/12,35,36,36,35,,,31,54,1,4788.92,,31,56,0,4788.92,,33,55,0,4788.92,,30,42,0,4788.92,
21:37:52 08/11/12,36,38,38,39,,,31,54,2,4788.92,,31,56,0,4788.92,,33,55,1,4788.92,,30,42,0,4788.92,
21:38:02 08/11/12,37,47,46,39,,,31,54,7,4788.92,,31,56,18,4788.92,,33,55,16,4788.92,,30,42,13,4788.92,
21:38:12 08/11/12,34,33,35,32,,,31,54,1,4788.92,,31,56,1,4788.92,,33,55,1,4788.92,,30,42,2,4788.92,
21:38:22 08/11/12,33,33,34,34,,,31,54,6,4788.92,,31,56,0,4788.92,,33,55,17,4788.92,,30,42,17,4788.92,
21:38:32 08/11/12,33,35,35,33,,,31,54,1,4788.92,,31,56,2,4788.92,,33,55,1,4788.92,,30,42,2,4788.92,
21:38:43 08/11/12,34,35,35,32,,,31,54,5,4788.92,,31,56,5,4788.92,,33,55,5,4788.92,,30,42,5,4788.92,
21:38:53 08/11/12,35,35,35,35,,,31,54,5,4788.92,,31,56,0,4788.92,,33,55,1,4788.92,,30,42,1,4788.92,
21:39:03 08/11/12,35,35,35,34,,,31,54,1,4788.92,,31,56,3,4788.92,,33,55,0,4788.92,,30,42,1,4788.92,
21:39:13 08/11/12,32,35,35,33,,,31,54,3,4788.92,,31,56,0,4788.92,,33,55,0,4788.92,,30,42,3,4788.92,
21:39:23 08/11/12,35,35,36,33,,,31,54,2,4788.92,,31,56,3,4788.92,,33,55,1,4788.92,,30,42,1,4788.92,
21:39:33 08/11/12,36,47,44,36,,,31,54,10,4788.92,,31,56,20,4788.92,,33,55,13,4788.92,,30,42,8,4788.92,
21:39:43 08/11/12,33,37,38,35,,,31,54,4,4788.92,,31,56,8,4788.92,,33,56,6,4788.92,,30,48,6,4788.92,
21:39:53 08/11/12,34,36,37,34,,,31,54,6,4788.92,,31,56,5,4788.92,,33,56,5,4788.92,,30,48,0,4788.92,
21:40:03 08/11/12,36,36,36,36,,,31,54,6,4788.92,,31,56,1,4788.92,,33,56,5,4788.92,,30,48,12,4788.92,
21:40:13 08/11/12,32,33,35,32,,,31,54,4,4788.92,,31,56,4,4788.92,,33,56,16,4788.92,,30,48,16,4788.92,
21:40:23 08/11/12,34,35,35,34,,,31,54,2,4788.92,,31,56,4,4788.92,,33,56,1,4788.92,,30,48,2,4788.92,
21:40:33 08/11/12,36,38,37,33,,,31,54,4,4788.92,,31,56,0,4788.92,,33,56,1,4788.92,,30,48,1,4788.92,
21:40:43 08/11/12,36,39,38,35,,,31,54,7,4788.92,,31,56,5,4788.92,,33,56,6,4788.92,,30,48,3,4788.92,
21:40:53 08/11/12,33,35,36,34,,,31,54,11,4788.92,,31,56,7,4788.92,,33,56,6,4788.92,,30,48,7,4788.92,
21:41:03 08/11/12,33,35,36,33,,,31,54,1,4788.92,,31,56,1,4788.92,,33,56,0,4788.92,,30,48,1,4788.92,
21:41:13 08/11/12,36,39,42,38,,,31,54,6,4788.92,,31,56,5,4788.92,,33,56,5,4788.92,,30,48,0,4788.92,
21:41:23 08/11/12,35,36,36,33,,,31,54,2,4788.92,,31,56,2,4788.92,,33,56,5,4788.92,,30,48,1,4788.92,
21:41:33 08/11/12,35,37,38,35,,,31,54,0,4788.92,,31,56,8,4788.92,,33,56,2,4788.92,,30,48,0,4788.92,
21:41:43 08/11/12,35,35,38,35,,,31,54,1,4788.92,,31,56,2,4788.92,,33,56,1,4788.92,,30,48,3,4788.92,
21:41:53 08/11/12,36,36,36,36,,,31,54,1,4788.92,,31,56,1,4788.92,,33,56,1,4788.92,,30,48,3,4788.92,
