CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,20:59:55 - September 27 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
21:00:05 09/27/12,32,32,32,32,,,28,40,1,4788.99,,28,35,0,4788.99,,31,40,0,4788.99,,29,43,0,4788.99,
21:00:15 09/27/12,30,29,33,29,,,28,40,6,4788.99,,28,35,6,4788.99,,31,40,5,4788.99,,29,43,4,4788.99,
21:00:25 09/27/12,29,30,31,30,,,28,40,5,4788.99,,28,35,1,4788.99,,31,41,5,4788.99,,29,43,0,4788.99,
21:00:35 09/27/12,34,34,34,34,,,28,40,0,4788.99,,28,40,9,4788.99,,31,48,0,4788.99,,29,43,1,4788.99,
21:00:45 09/27/12,33,33,33,33,,,28,40,6,4788.99,,28,40,2,4788.99,,31,48,1,4788.99,,29,43,0,4788.99,
21:00:55 09/27/12,33,33,33,33,,,28,40,4,4788.99,,28,40,1,4788.99,,31,48,4,4788.99,,29,43,3,4788.99,
21:01:05 09/27/12,30,29,32,29,,,28,41,3,4788.99,,28,42,1,4788.99,,31,48,5,4788.99,,29,50,4,4788.99,
21:01:15 09/27/12,30,30,31,29,,,28,41,7,4788.99,,28,42,7,4788.99,,31,48,7,4788.99,,29,50,4,4788.99,
21:01:25 09/27/12,33,33,33,33,,,28,41,2,4788.99,,28,42,4,4788.99,,31,48,4,4788.99,,29,50,1,4788.99,
21:01:35 09/27/12,32,32,32,32,,,28,41,1,4788.99,,28,42,1,4788.99,,31,48,4,4788.99,,29,50,3,4788.99,
21:01:45 09/27/12,31,30,31,30,,,28,41,0,4788.99,,28,42,0,4788.99,,31,48,0,4788.99,,29,50,0,4788.99,
21:01:55 09/27/12,30,31,33,33,,,28,41,5,4788.99,,28,42,4,4788.99,,31,48,5,4788.99,,29,50,5,4788.99,
21:02:05 09/27/12,36,50,38,33,,,28,43,5,4788.99,,28,50,39,4788.99,,31,48,5,4788.99,,29,50,7,4788.99,
21:02:15 09/27/12,30,30,34,32,,,28,43,0,4788.99,,28,51,0,4788.99,,31,48,0,4788.99,,29,50,0,4788.99,
21:02:25 09/27/12,31,32,34,32,,,28,43,0,4788.99,,28,51,4,4788.99,,31,49,10,4788.99,,29,50,3,4788.99,
21:02:35 09/27/12,30,30,31,31,,,28,44,0,4788.99,,28,51,1,4788.99,,31,50,0,4788.99,,29,50,1,4788.99,
21:02:45 09/27/12,32,31,32,31,,,28,44,0,4788.99,,28,51,0,4788.99,,31,50,2,4788.99,,29,50,0,4788.99,
