CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,21:38:58 - October 31 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
21:39:09 10/31/12,25,27,30,27,,,25,37,0,4788.78,,25,41,0,4788.78,,28,43,0,4788.78,,27,42,2,4788.78,
21:39:19 10/31/12,30,29,31,30,,,25,37,4,4788.78,,25,43,7,4788.78,,28,43,11,4788.78,,27,42,7,4788.78,
21:39:29 10/31/12,35,29,34,31,,,25,43,5,4788.78,,25,43,7,4788.78,,28,43,3,4788.78,,27,42,4,4788.78,
21:39:39 10/31/12,25,27,30,27,,,25,43,2,4788.78,,25,43,0,4788.78,,28,43,4,4788.78,,27,43,2,4788.78,
21:39:49 10/31/12,31,31,31,31,,,25,43,3,4788.78,,25,44,1,4788.78,,28,43,7,4788.78,,27,43,5,4788.78,
21:39:59 10/31/12,29,41,34,30,,,25,43,5,4788.78,,25,44,13,4788.78,,28,43,3,4788.78,,27,43,1,4788.78,
21:40:09 10/31/12,30,30,30,30,,,25,43,0,4788.78,,25,44,0,4788.78,,28,43,0,4788.78,,27,43,0,4788.78,
21:40:19 10/31/12,26,27,31,28,,,25,43,14,4788.78,,25,44,7,4788.78,,28,43,4,4788.78,,27,43,4,4788.78,
21:40:29 10/31/12,26,27,31,28,,,25,43,7,4788.78,,25,44,7,1596.26,,28,43,7,4788.78,,26,43,7,4788.78,
21:40:39 10/31/12,27,27,30,29,,,25,43,2,4788.78,,25,44,0,4788.78,,28,43,1,4788.78,,26,43,1,4788.78,
21:40:49 10/31/12,27,28,31,29,,,25,43,1,4788.78,,25,44,0,4788.78,,28,43,1,4788.78,,26,43,4,4788.78,
21:40:59 10/31/12,31,31,31,31,,,25,43,0,4788.78,,25,44,0,4788.78,,28,43,0,4788.78,,26,43,0,4788.78,
21:41:09 10/31/12,25,26,29,28,,,25,43,2,4788.78,,25,44,0,4788.78,,28,43,2,4788.78,,26,43,0,4788.78,
21:41:19 10/31/12,31,31,34,31,,,25,43,0,4788.78,,25,44,3,4788.78,,28,43,6,4788.78,,26,43,4,4788.78,
21:41:29 10/31/12,28,28,31,28,,,25,43,5,4788.78,,25,44,4,4788.78,,28,43,0,4788.78,,26,43,0,4788.78,
21:41:39 10/31/12,30,30,34,31,,,25,43,11,4788.78,,25,44,5,4788.78,,28,43,20,4788.78,,26,43,2,4788.78,
21:41:49 10/31/12,33,33,33,33,,,25,43,5,4788.78,,25,44,4,4788.78,,28,43,3,4788.78,,26,43,2,4788.78,
21:41:59 10/31/12,31,31,35,35,,,25,43,15,4788.78,,25,44,5,4788.78,,28,43,6,4788.78,,26,43,11,4788.78,
21:42:09 10/31/12,33,33,39,34,,,25,43,18,4788.78,,25,44,7,4788.78,,28,43,12,4788.78,,26,43,6,4788.78,
21:42:19 10/31/12,28,30,32,30,,,25,43,0,4788.78,,25,44,0,4788.78,,28,44,2,4788.78,,26,43,7,4788.78,
21:42:29 10/31/12,28,30,32,30,,,25,43,1,4788.78,,25,44,2,4788.78,,28,44,2,4788.78,,26,43,4,4788.78,
21:42:39 10/31/12,33,33,33,33,,,25,43,1,4788.78,,25,44,1,4788.78,,28,44,1,4788.78,,26,43,5,4788.78,
21:42:49 10/31/12,28,28,30,32,,,25,43,2,4788.78,,25,44,1,4788.78,,28,44,0,4788.78,,26,43,3,4788.78,
21:42:59 10/31/12,30,32,32,32,,,25,43,2,4788.78,,25,44,0,4788.78,,28,44,1,4788.78,,26,43,2,4788.78,
21:43:09 10/31/12,32,32,33,32,,,25,43,1,4788.78,,25,44,2,4788.78,,28,44,1,4788.78,,26,43,3,4788.78,
21:43:19 10/31/12,31,31,34,32,,,25,43,7,4788.78,,25,44,3,4788.78,,28,44,3,4788.78,,26,43,4,4788.78,
21:43:29 10/31/12,32,33,35,34,,,25,43,11,4788.78,,25,44,2,4788.78,,28,44,1,4788.78,,26,43,15,4788.78,
21:43:39 10/31/12,31,32,34,31,,,25,43,3,4788.78,,25,44,4,4788.78,,28,44,2,4788.78,,26,43,2,4788.78,
21:43:49 10/31/12,33,33,34,33,,,25,43,11,4788.78,,25,44,1,4788.78,,28,44,1,4788.78,,26,43,3,4788.78,
21:43:59 10/31/12,32,32,33,32,,,25,43,2,4788.78,,25,44,2,4788.78,,28,44,2,4788.78,,26,43,3,4788.78,
21:44:09 10/31/12,30,32,34,31,,,25,43,4,4788.78,,25,44,2,4788.78,,28,44,2,4788.78,,26,43,4,4788.78,
21:44:19 10/31/12,32,32,33,32,,,25,43,21,4788.78,,25,44,1,4788.78,,28,44,1,4788.78,,26,43,3,4788.78,
21:44:29 10/31/12,33,33,33,33,,,25,43,1,4788.78,,25,44,1,4788.78,,28,44,2,4788.78,,26,43,2,4788.78,
21:44:39 10/31/12,29,31,34,31,,,25,43,5,4788.78,,25,44,1,4788.78,,28,44,0,4788.78,,26,43,2,4788.78,
21:44:49 10/31/12,28,30,32,30,,,25,43,2,4788.78,,25,44,2,4788.78,,28,44,8,4788.78,,26,43,2,4788.78,
21:44:59 10/31/12,32,33,34,33,,,25,43,2,4788.78,,25,44,2,4788.78,,28,46,2,4788.78,,26,43,4,4788.78,
21:45:09 10/31/12,30,32,34,31,,,25,43,0,4788.78,,25,44,1,4788.78,,28,46,1,4788.78,,26,43,1,4788.78,
21:45:19 10/31/12,28,30,33,31,,,25,43,1,4788.78,,25,44,1,4788.78,,28,46,1,4788.78,,26,43,1,4788.78,
21:45:29 10/31/12,33,33,33,33,,,25,43,1,4788.78,,25,44,0,4788.78,,28,46,1,4788.78,,26,43,1,4788.78,
21:45:39 10/31/12,35,47,38,33,,,25,43,16,4788.78,,25,47,20,4788.78,,28,46,4,4788.78,,26,43,7,4788.78,
21:45:49 10/31/12,30,30,33,30,,,25,43,0,4788.78,,25,49,4,4788.78,,28,52,4,4788.78,,26,43,5,4788.78,
21:45:59 10/31/12,28,31,33,31,,,25,43,1,4788.78,,25,49,1,4788.78,,28,52,0,4788.78,,26,43,1,4788.78,
21:46:09 10/31/12,29,30,34,30,,,25,43,0,4788.78,,25,49,1,4788.78,,28,52,0,4788.78,,26,43,1,4788.78,
21:46:19 10/31/12,32,31,34,31,,,25,43,29,4788.78,,25,49,0,4788.78,,28,52,2,4788.78,,26,43,5,4788.78,
21:46:29 10/31/12,30,30,34,31,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:46:39 10/31/12,30,31,33,32,,,25,43,5,4788.78,,25,49,2,4788.78,,28,52,2,4788.78,,26,43,2,4788.78,
21:46:49 10/31/12,28,30,32,31,,,25,43,1,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,2,4788.78,
21:46:59 10/31/12,29,30,32,30,,,25,43,1,4788.78,,25,49,3,4788.78,,28,52,6,4788.78,,26,43,1,4788.78,
21:47:09 10/31/12,28,29,33,31,,,25,43,0,4788.78,,25,49,5,4788.78,,28,52,0,4788.78,,26,43,10,4788.78,
21:47:19 10/31/12,33,33,33,33,,,25,43,1,4788.78,,25,49,1,4788.78,,28,52,2,4788.78,,26,43,1,4788.78,
21:47:29 10/31/12,27,28,32,30,,,25,43,4,4788.78,,25,49,18,4788.78,,28,52,4,4788.78,,26,43,3,4788.78,
21:47:39 10/31/12,32,32,32,32,,,25,43,1,4788.78,,25,49,5,4788.78,,28,52,0,4788.78,,26,43,1,4788.78,
21:47:49 10/31/12,28,29,32,29,,,25,43,3,4788.78,,25,49,3,4788.78,,28,52,3,4788.78,,26,43,0,4788.78,
21:47:59 10/31/12,27,29,32,30,,,25,43,18,4788.78,,25,49,18,4788.78,,28,52,7,4788.78,,26,43,0,4788.78,
21:48:09 10/31/12,28,30,32,31,,,25,43,1,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:48:19 10/31/12,28,30,33,29,,,25,43,0,4788.78,,25,49,6,4788.78,,28,52,7,4788.78,,26,43,6,4788.78,
21:48:29 10/31/12,32,32,32,32,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:48:39 10/31/12,28,29,33,31,,,25,43,10,4788.78,,25,49,1,4788.78,,28,52,13,4788.78,,26,43,18,4788.78,
21:48:49 10/31/12,33,33,33,33,,,25,43,0,4788.78,,25,49,7,4788.78,,28,52,3,4788.78,,26,43,0,4788.78,
21:48:59 10/31/12,28,30,33,31,,,25,43,2,4788.78,,25,49,2,4788.78,,28,52,0,4788.78,,26,43,2,4788.78,
21:49:09 10/31/12,32,32,32,32,,,25,43,1,4788.78,,25,49,0,4788.78,,28,52,21,4788.78,,26,43,6,4788.78,
21:49:19 10/31/12,32,32,32,32,,,25,43,5,4788.78,,25,49,0,4788.78,,28,52,13,4788.78,,26,43,10,4788.78,
21:49:29 10/31/12,33,33,33,33,,,25,43,5,4788.78,,25,49,4,4788.78,,28,52,5,4788.78,,26,43,4,4788.78,
21:49:39 10/31/12,33,33,33,33,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:49:49 10/31/12,32,32,32,32,,,25,43,6,4788.78,,25,49,11,4788.78,,28,52,6,4788.78,,26,43,6,4788.78,
21:49:59 10/31/12,28,30,34,30,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,2,4788.78,,26,43,7,4788.78,
21:50:09 10/31/12,32,32,32,32,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:50:19 10/31/12,28,30,31,31,,,25,43,4,4788.78,,25,49,4,4788.78,,28,52,9,4788.78,,26,43,10,4788.78,
21:50:29 10/31/12,27,30,32,31,,,25,43,7,4788.78,,25,49,0,4788.78,,28,52,4,4788.78,,26,43,1,4788.78,
21:50:39 10/31/12,32,32,32,32,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:50:49 10/31/12,28,30,32,31,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,15,4788.78,
21:50:59 10/31/12,29,31,34,32,,,25,43,6,4788.78,,25,49,6,4788.78,,28,52,6,4788.78,,26,43,10,4788.78,
21:51:09 10/31/12,28,31,34,31,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:51:19 10/31/12,29,30,34,31,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:51:29 10/31/12,33,33,33,33,,,25,43,17,4788.78,,25,49,1,4788.78,,28,52,1,4788.78,,26,43,5,4788.78,
21:51:40 10/31/12,33,33,33,33,,,25,43,8,4788.78,,25,49,4,4788.78,,28,52,4,4788.78,,26,43,4,4788.78,
21:51:50 10/31/12,32,32,32,32,,,25,43,1,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:52:00 10/31/12,33,33,33,33,,,25,43,2,4788.78,,25,49,12,4788.78,,28,52,7,4788.78,,26,43,13,4788.78,
21:52:10 10/31/12,32,32,32,32,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,11,4788.78,
21:52:20 10/31/12,32,32,32,32,,,25,43,1,4788.78,,25,49,2,4788.78,,28,52,0,4788.78,,26,43,1,4788.78,
21:52:30 10/31/12,30,30,33,31,,,25,43,1,4788.78,,25,49,6,4788.78,,28,52,3,4788.78,,26,43,1,4788.78,
21:52:40 10/31/12,34,34,34,34,,,25,43,4,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:52:50 10/31/12,33,33,33,33,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:53:00 10/31/12,33,33,33,33,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:53:10 10/31/12,33,33,33,33,,,25,43,4,4788.78,,25,49,0,4788.78,,28,52,13,4788.78,,26,43,0,4788.78,
21:53:20 10/31/12,29,31,32,31,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:53:30 10/31/12,33,33,33,33,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:53:40 10/31/12,28,31,33,30,,,25,43,11,4788.78,,25,49,17,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:53:50 10/31/12,27,30,34,31,,,25,43,11,4788.78,,25,49,11,4788.78,,28,52,11,4788.78,,26,43,11,4788.78,
21:54:00 10/31/12,34,34,34,34,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:54:10 10/31/12,28,30,34,31,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,13,4788.78,,26,43,14,4788.78,
21:54:20 10/31/12,33,33,33,33,,,25,43,1,4788.78,,25,49,9,4788.78,,28,52,1,4788.78,,26,43,13,4788.78,
21:54:30 10/31/12,33,33,33,33,,,25,43,2,4788.78,,25,49,0,4788.78,,28,52,5,4788.78,,26,43,2,4788.78,
21:54:40 10/31/12,28,30,34,31,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:54:50 10/31/12,28,30,32,30,,,25,43,1,4788.78,,25,49,14,4788.78,,28,52,0,4788.78,,26,43,1,4788.78,
21:55:00 10/31/12,29,30,32,30,,,25,43,3,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
21:55:10 10/31/12,27,29,32,32,,,25,43,0,4788.78,,25,49,0,4788.78,,28,52,0,4788.78,,26,43,0,4788.78,
