CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,20:54:19 - November 05 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
20:54:29 11/05/12,25,25,27,27,,,24,42,0,4789.16,,25,42,1,4789.16,,27,38,0,4789.16,,26,32,4,4789.16,
20:54:39 11/05/12,24,25,27,27,,,24,42,4,4789.16,,25,42,4,4789.16,,27,42,4,4789.16,,26,32,3,4789.16,
20:54:49 11/05/12,25,26,29,26,,,24,42,3,4789.16,,24,43,0,4789.16,,27,42,4,4789.16,,26,32,3,4789.16,
20:54:59 11/05/12,26,26,30,27,,,24,42,3,4789.16,,24,43,7,4789.16,,27,42,8,4789.16,,25,38,4,4789.16,
20:55:09 11/05/12,30,30,30,30,,,24,42,0,4789.16,,24,43,0,4789.16,,27,42,0,4789.16,,25,38,0,4789.16,
20:55:19 11/05/12,29,30,30,30,,,24,42,1,4789.16,,24,43,1,4789.16,,27,42,0,4789.16,,25,38,0,4789.16,
20:55:29 11/05/12,25,26,28,26,,,24,42,0,4789.16,,24,43,0,4789.16,,27,42,0,4789.16,,25,38,0,4789.16,
20:55:39 11/05/12,25,28,33,36,,,24,42,0,4789.16,,24,43,2,4789.16,,27,42,0,4789.16,,25,38,2,4789.16,
20:55:49 11/05/12,26,27,30,27,,,24,42,7,4789.16,,24,43,16,4789.16,,27,42,4,4789.16,,25,38,13,4789.16,
20:55:59 11/05/12,26,28,30,28,,,24,42,4,4789.16,,24,43,16,4789.16,,27,42,2,4789.16,,25,38,4,4789.16,
20:56:09 11/05/12,25,26,28,28,,,24,42,2,4789.16,,24,43,0,4789.16,,27,42,0,4789.16,,25,38,0,4789.16,
20:56:19 11/05/12,25,26,28,27,,,24,42,0,4789.16,,24,43,1,4789.16,,27,42,0,4789.16,,25,38,0,4789.16,
20:56:29 11/05/12,30,30,30,30,,,24,42,0,4789.16,,24,43,0,4789.16,,27,42,1,4789.16,,25,38,0,4789.16,
20:56:39 11/05/12,30,30,30,30,,,24,42,0,4789.16,,24,43,0,4789.16,,27,42,0,4789.16,,25,38,0,4789.16,
20:56:49 11/05/12,31,31,31,31,,,24,42,8,4789.16,,24,43,14,4789.16,,27,42,14,4789.16,,25,38,14,4789.16,
20:56:59 11/05/12,30,30,30,30,,,24,42,8,4789.16,,24,43,9,4789.16,,27,42,4,4789.16,,25,38,2,4789.16,
20:57:10 11/05/12,30,30,30,30,,,24,42,0,4789.16,,24,43,0,4789.16,,27,42,0,4789.16,,25,38,0,4789.16,
20:57:20 11/05/12,26,26,28,27,,,24,42,14,4789.16,,24,43,14,4789.16,,27,45,14,4789.16,,25,38,14,4789.16,
20:57:30 11/05/12,30,30,33,31,,,24,42,17,4789.16,,24,43,15,4789.16,,27,45,5,4789.16,,25,38,2,4789.16,
20:57:40 11/05/12,25,26,28,27,,,24,42,0,4789.16,,24,43,0,4789.16,,27,45,0,4789.16,,25,44,0,4789.16,
20:57:50 11/05/12,25,27,30,28,,,24,42,1,4789.16,,24,43,1,4789.16,,27,45,1,4789.16,,25,44,1,4789.16,
20:58:00 11/05/12,30,30,30,30,,,24,42,0,4789.16,,24,43,0,4789.16,,27,45,0,4789.16,,25,44,0,4789.16,
20:58:10 11/05/12,25,26,29,27,,,24,42,4,4789.16,,24,43,0,4789.16,,27,45,0,4789.16,,25,44,1,4789.16,
20:58:20 11/05/12,25,26,28,29,,,24,42,0,4789.16,,24,43,0,4789.16,,27,45,0,4789.16,,25,44,0,4789.16,
20:58:41 11/05/12,26,27,28,27,,,24,42,92,4789.16,,24,43,91,4789.16,,27,45,91,4789.16,,25,44,92,4789.16,
20:58:51 11/05/12,30,30,30,30,,,24,42,4,4789.16,,24,43,6,4789.16,,27,45,5,4789.16,,25,44,6,4789.16,
20:59:01 11/05/12,25,27,30,28,,,24,42,0,4789.16,,24,43,0,4789.16,,27,45,0,4789.16,,25,44,0,4789.16,
20:59:11 11/05/12,26,27,30,28,,,24,42,17,4789.16,,24,43,17,4789.16,,27,45,17,4789.16,,25,44,17,4789.16,
20:59:21 11/05/12,31,31,31,31,,,24,42,0,4789.16,,24,43,0,4789.16,,27,45,0,4789.16,,25,44,0,4789.16,
20:59:31 11/05/12,31,31,31,31,,,24,42,0,4789.16,,24,43,0,4789.16,,27,45,1,4789.16,,25,44,2,4789.16,
20:59:41 11/05/12,31,31,31,31,,,24,42,1,4789.16,,24,43,0,4789.16,,27,45,6,4789.16,,25,44,0,4789.16,
20:59:51 11/05/12,31,31,31,31,,,24,42,0,4789.16,,24,43,0,4789.16,,27,45,0,4789.16,,25,44,0,4789.16,
21:00:01 11/05/12,31,31,31,31,,,24,42,0,4789.16,,24,43,0,4789.16,,27,45,0,4789.16,,25,44,0,4789.16,
21:00:11 11/05/12,30,30,30,30,,,24,42,12,4789.16,,24,43,0,4789.16,,27,45,12,4789.16,,25,44,0,4789.16,
21:00:21 11/05/12,26,28,30,28,,,24,42,0,4789.16,,24,43,0,4789.16,,27,45,13,4789.16,,25,44,14,4789.16,
21:00:31 11/05/12,27,27,30,28,,,24,43,0,4789.16,,24,43,0,4789.16,,27,47,0,4789.16,,25,44,4,4789.16,
21:00:41 11/05/12,31,31,31,31,,,24,43,0,4789.16,,24,43,0,4789.16,,27,47,0,4789.16,,25,44,0,4789.16,
