CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,22:45:31 - December 25 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
22:45:41 12/25/12,28,28,28,28,,,25,35,12,4789.14,,24,44,10,4789.14,,26,46,10,4789.14,,25,44,6,4789.14,
22:45:51 12/25/12,24,24,26,26,,,24,35,11,4789.14,,24,44,8,4789.14,,26,46,7,4789.14,,25,44,0,4789.14,
22:46:01 12/25/12,28,28,28,28,,,24,35,0,4789.14,,23,44,0,4789.14,,26,46,0,4789.14,,25,44,0,4789.14,
22:46:11 12/25/12,32,29,29,27,,,24,38,2,4789.14,,23,44,11,4789.14,,26,46,1,4789.14,,25,44,4,4789.14,
22:46:21 12/25/12,28,28,28,28,,,24,38,5,4789.14,,23,44,17,4789.14,,26,46,14,4789.14,,25,44,1,4789.14,
22:46:31 12/25/12,28,28,28,28,,,24,38,0,4789.14,,23,44,6,4789.14,,26,46,5,4789.14,,25,44,3,4789.14,
22:46:41 12/25/12,28,28,28,28,,,24,38,0,4789.14,,23,44,0,4789.14,,26,46,0,4789.14,,25,44,0,4789.14,
22:46:51 12/25/12,27,27,27,27,,,24,38,0,4789.14,,23,44,0,4789.14,,26,46,14,4789.14,,25,44,13,4789.14,
22:47:01 12/25/12,27,27,27,27,,,24,38,0,4789.14,,23,44,10,4789.14,,26,46,2,4789.14,,25,44,10,4789.14,
22:47:11 12/25/12,28,28,28,28,,,24,38,2,4789.14,,23,44,2,4789.14,,26,46,2,4789.14,,25,44,0,4789.14,
